statefips,state,state_name,total,top_01,top_05,top_10,top_25,top_50,top_75,agi_01,agi_05,agi_10,agi_25,agi_50,agi_75,total_agi,sum_agi_01,sum_agi_05,sum_agi_10,sum_agi_25,sum_agi_50,sum_agi_75,total_sal_num,total_sal_amt,num_sal_01,sum_sal_01,num_sal_05,sum_sal_05,num_sal_10,sum_sal_10,num_sal_25,sum_sal_25,num_sal_50,sum_sal_50,num_sal_75,sum_sal_75,total_int_num,total_int_amt,num_int_01,sum_int_01,num_int_05,sum_int_05,num_int_10,sum_int_10,num_int_25,sum_int_25,num_int_50,sum_int_50,num_int_75,sum_int_75,total_div_num,total_div_amt,num_div_01,sum_div_01,num_div_05,sum_div_05,num_div_10,sum_div_10,num_div_25,sum_div_25,num_div_50,sum_div_50,num_div_75,sum_div_75,total_businc_num,total_businc_amt,num_businc_01,sum_businc_01,num_businc_05,sum_businc_05,num_businc_10,sum_businc_10,num_businc_25,sum_businc_25,num_businc_50,sum_businc_50,num_businc_75,sum_businc_75,total_cpgain_num,total_cpgain_amt,num_cpgain_01,sum_cpgain_01,num_cpgain_05,sum_cpgain_05,num_cpgain_10,sum_cpgain_10,num_cpgain_25,sum_cpgain_25,num_cpgain_50,sum_cpgain_50,num_cpgain_75,sum_cpgain_75,total_iradist_num,total_iradist_amt,num_iradist_01,sum_iradist_01,num_iradist_05,sum_iradist_05,num_iradist_10,sum_iradist_10,num_iradist_25,sum_iradist_25,num_iradist_50,sum_iradist_50,num_iradist_75,sum_iradist_75,total_pension_num,total_pension_amt,num_pension_01,sum_pension_01,num_pension_05,sum_pension_05,num_pension_10,sum_pension_10,num_pension_25,sum_pension_25,num_pension_50,sum_pension_50,num_pension_75,sum_pension_75,total_scorp_num,total_scorp_amt,num_scorp_01,sum_scorp_01,num_scorp_05,sum_scorp_05,num_scorp_10,sum_scorp_10,num_scorp_25,sum_scorp_25,num_scorp_50,sum_scorp_50,num_scorp_75,sum_scorp_75,total_tax,sum_tax_01,sum_tax_05,sum_tax_10,sum_tax_25,sum_tax_50,sum_tax_75
15,HI,Hawaii,648871,6489.00,32444.00,64887.0,162218.00,324436.0,486653.00,541170.7,229419,165283,98581,52032,26971,56648324,9526320,17867458,24095285,36365409,48088277,54372932,502120,33251428,4854,2297250,25176,6493241,51517,10399691,131242,18688550,264435,27021145,401170,31801197,239273,353538,5866,162421,26268,210334,48589,238043,103996,283696,169002,322010,205840,338859,153465,1269216,5061,502145,22251,775932,39486,909413,76895,1081362,116536,1200766,137200,1241657,109612,2233049,2008,420865,9084,967414,16408,1211101,35335,1578526,60561,1896937,81349,2085832,148478,6143096,5521,3764885,23374,5012640,40110,5422581,74899,5838052,112136,6056389,132638,6117603,73065,1856651,1635,270194,8567,675274,15938,959311,33671,1396954,52826,1688313,62214,1787104,151020,4967568,1813,155245,11629,846103,24155,1569254,57944,3045436,99745,4276088,123267,4705768,32473,2768878,3515,1774699,10415,2422040,14415,2572298,21043,2715761,26757,2779171,29728,2783819,7163533,2356441,3792053,4634726,5909941,6825354,7129965
16,ID,Idaho,808466,8085.00,40423.00,80847.0,202117.00,404233.0,606350.00,624720.1,231578.75,157750.5,93375.75,49149,25050,74515982,17387080,28551555,36130205,50586302,64461953,71792091,648030,40919699,6236,2844587,32264,8193123,65324,12910863,165206,22860135,332723,33079457,504340,38935808,246993,587005,7360,256403,31642,358052,55704,406846,111498,479449,174107,535526,211212,562883,153704,1373315,5978,555002,24927,853556,42713,994017,79008,1171629,115455,1295153,135375,1340950,141234,2110270,2175,255346,10354,619532,19805,852743,45034,1234245,79776,1647724,106554,1913191,175503,11308241,7110,7422701,29716,9515927,50154,10186392,90557,10821861,131779,11155874,155028,11257157,90096,2112567,1491,143369,8265,565466,16161,903616,36558,1458479,60117,1843057,74463,2005832,164564,4805674,1405,118576,9320,602883,20972,1222880,56084,2663881,102532,3969869,132882,4512923,68076,8249940,5730,5373528,18805,7106270,27810,7612657,42647,8038170,56217,8223033,62993,8264630,9551658,4185157,6072581,7046881,8342088,9219030,9522475
17,IL,Illinois,5679636,56796.00,283982.00,567964.0,1419909.00,2839818.0,4259727.00,695128.25,261161,178108,101656,52097,25969,593908357,154791649,242284363,302487107,415336588,519948772,573974183,4570959,356530433,47589,44630608,244211,100225738,489150,142248089,1212764,222880226,2411954,300947015,3617045,343167408,1848901,4293675,52674,2570650,225480,3043651,403177,3298437,842179,3715790,1328965,4040890,1609414,4180508,1329585,15330566,50602,7367607,219299,10519501,380985,11928540,719339,13687852,1047206,14768538,1204512,15117280,968652,13548897,14126,2142202,63428,4783147,116259,6197629,257753,8295038,454156,10335641,651957,11892282,1300371,82676830,52051,63929826,221133,73023896,379183,76458307,703853,80115343,1020677,81950485,1178527,82469384,649741,17001078,10997,1649148,62441,5185931,122552,7745349,277935,12175238,451338,15215280,548421,16319197,1152399,37331997,9505,787972,62871,4646744,144087,9840556,398625,21791921,733960,31842863,944322,35454307,374228,41032944,36355,28853485,104197,36138437,149472,37960127,228434,39757906,301454,40795022,344882,41101787,89812877,40234949,57141797,66072274,78591792,87115593,89585617
18,IN,Indiana,3011423,30114.00,150571.00,301142.0,752856.00,1505712.0,2258567.00,490617.56,200076.9,144900,88170.5,46255,22904,239564578,46450427,80523605,105766833,156263604,204859941,230565716,2441224,155548622,25916,12726637,130566,34246424,263803,52833399,659887,91164174,1312713,129121278,1952789,149740024,858388,1038483,27209,401215,110198,572277,191612,659295,383865,799792,595110,921533,725386,982986,539300,4096644,24563,1731352,96012,2634542,157383,3010550,283986,3526672,409713,3875643,477686,4006461,438123,6166206,8273,929565,34725,2050751,62782,2651169,137816,3729081,234802,4800999,319160,5536153,537387,21967702,25814,15464392,99179,18537637,160432,19643094,285352,20930751,410809,21652405,479184,21873857,350568,7612627,5976,569780,32511,2098786,61122,3223017,136404,5203960,225254,6617248,282921,7216070,659950,13697721,5342,340824,36202,1901150,77946,3439827,200912,6936041,369134,10474211,495684,12366708,153575,18126766,19545,13466873,52973,16516054,72943,17228668,105372,17880636,131877,18136019,144487,18164602,29106303,11302420,16897005,20043752,24624090,27985479,29044875
19,IA,Iowa,1380815,13808.00,69041.00,138082.0,345204.00,690408.0,1035611.00,507348.16,214284.3,154839,97255,52770,27493,116211766,18364790,34951628,47330658,72410208,97384362,111040883,1129947,73508008,11694,5413629,58143,14671592,117016,22967858,294280,40797643,584887,59002503,879891,69850225,550801,857464,12977,275185,57541,409377,105435,485736,227867,617151,378554,746017,471623,809072,321708,2320250,11405,810431,47922,1316716,82828,1566537,157650,1913694,240118,2169898,285460,2262615,205492,2865565,3874,327025,16286,837723,29557,1132340,66498,1664931,117066,2229291,154081,2565032,316362,8700361,12006,4516158,49267,6319357,83301,7040235,156208,7898231,236636,8444432,281229,8614123,192497,3964175,3108,246045,16638,960615,31920,1529449,72640,2547783,125995,3387200,159624,3742564,313189,7162945,2997,180439,18383,923540,38680,1729945,99403,3638641,188698,5647517,250404,6595739,99372,8838637,9224,5948273,28526,7705123,41453,8184135,63931,8612823,83506,8810695,92647,8844969,13676610,4554272,7270958,8844435,11143006,12940751,13605442
20,KS,Kansas,1265879,12659.00,63294.00,126588.0,316470.00,632940.0,949409.00,577891.98,226407,159172,94547,49320,24841,113104374,24278442,40872114,52685531,75661813,97466854,108969617,1029999,68819981,10468,6296699,53148,15877885,106978,23843167,268764,40248414,536673,56546174,807716,65833177,448934,738697,11766,323997,50905,426478,92607,483769,195812,582274,313299,666153,382901,705145,275304,2765214,10684,1328378,44304,1862102,75931,2106620,142805,2433319,210788,2646786,246032,2719280,199975,3179840,4170,445574,17504,1084314,31315,1439973,68379,2020879,115744,2576563,151962,2916689,283870,12368691,11213,8302516,46329,10138386,78680,10852801,146533,11677088,216297,12152421,253702,12298907,166288,3938527,2725,303370,15159,1074282,29395,1679853,66516,2711972,111388,3469832,137951,3759620,272384,6450650,2260,160067,15214,827789,33842,1629163,89623,3434761,165635,5179554,216826,5978836,82970,9339608,8564,6633205,25971,8418844,37153,8854832,55877,9214194,70786,9347306,77853,9359549,14719792,6074295,8940658,10501653,12663245,14179073,14678236
21,KY,Kentucky,1843362,18434.00,92168.00,184336.0,460841.00,921681.0,1382522.00,455998.78,190198,137321.7,82136,42778.5,21467,134863293,23906946,43642288,58313701,87377445,114941765,129551425,1506372,87665377,15503,7227580,78122,19383443,158129,29755310,395791,51036916,789186,72160213,1178991,83905963,480558,614236,16086,226151,64164,328299,111480,380130,223113,470646,343294,545832,416452,583355,287142,2911983,14455,1496245,56051,2079115,91254,2315384,161263,2615950,226986,2801067,260579,2869352,297567,3986566,6007,580734,24012,1365706,42609,1753816,90935,2393818,153600,3030211,209653,3477275,291882,10782247,15297,7051260,57877,8819030,93061,9477193,162681,10211258,229390,10597864,264623,10725450,180941,4117321,3989,395723,20508,1322601,37703,1938749,80441,2962983,126532,3652721,154772,3948749,404361,10658409,3865,245881,25816,1520115,56569,2923549,145507,6030611,258458,8808943,335941,10060249,92269,8788081,11268,6276335,31429,7916694,43381,8309293,62568,8651430,78040,8785184,85902,8805896,15654786,5903685,9069573,10832742,13340438,15100696,15630989
22,LA,Louisiana,1883699,18837.00,94185.00,188370.0,470925.00,941850.0,1412774.00,521252.28,202007.1,143523,80080,38424,18469,142648566,30411189,52358307,68170302,98292363,124696361,137660953,1516692,87685873,15182,6664366,78987,19395920,161939,30893137,405656,53274492,805851,73856099,1197217,84247676,514403,820686,17350,353090,72434,505076,127770,572542,257139,680928,385364,760447,456835,795055,280343,2902929,15287,1403055,58607,2044171,94303,2290601,167491,2622363,229979,2806706,258770,2867633,428823,4435303,6929,876413,28408,1926023,50512,2342668,110078,3011707,195562,3593244,294271,3923018,287887,13251075,16019,9425586,60759,11404629,97305,12040091,171558,12788457,235227,13121755,265372,13214046,165440,4155395,3900,336176,20163,1316447,36599,1982267,80231,3136048,123923,3800413,147058,4038363,350301,9698467,3863,278944,25516,1562117,53479,2783446,134228,5610647,235883,8215257,302962,9297131,111556,13358747,14023,9987904,40065,12404774,54978,12889858,79820,13284966,97584,13401386,105775,13402158,18000937,7704939,11343670,13314085,16041201,17658744,17994989
23,ME,Maine,661964,6620.00,33098.00,66196.0,165491.00,330982.0,496473.00,522134.59,214315.85,150356.7,89945.25,48302,25807,54178883,9559782,17682812,23518663,34915091,45896214,51947071,518815,32915429,5344,2644668,26928,7063160,54658,10888427,139019,18902889,278097,26887359,417061,31547304,237886,333302,6107,131049,26680,187123,47937,214576,99565,259923,160117,297393,197880,315773,137788,1339296,5289,487234,21598,806998,36536,952063,67876,1137193,101294,1261903,119689,1306229,113358,2115557,1860,235893,8664,625317,15996,866372,35410,1271950,61707,1670718,82830,1919463,135276,5632542,5676,3294299,23092,4430457,38412,4851521,69226,5293144,101448,5531766,119251,5600348,87686,1964628,1451,150728,8086,563759,15421,864313,33990,1353410,56654,1706512,70203,1851789,142311,3664966,1323,77415,8435,472688,18109,906624,46662,1888601,85593,2911470,111513,3384578,38619,3503951,3859,2292810,11574,3064700,16532,3262297,25092,3428571,32168,3498759,35697,3513333,6650805,2326711,3695907,4451585,5524466,6330303,6622411
24,MD,Maryland,2855754,28558.00,142788.00,285575.0,713939.00,1427877.0,2141816.00,658000.87,276619.35,196665,112958,57013,26823,297497580,60466832,104480085,137363753,200400589,258512412,287614602,2283030,191749160,23743,17609566,123514,45883653,249603,70080159,619293,117395034,1220028,161791378,1827314,185137862,950576,1467790,26619,640835,116523,863790,211786,985785,445042,1194111,704758,1359754,846091,1424035,618981,6351037,24923,2585740,105544,4045098,182458,4718021,344800,5594772,499643,6112517,570810,6268148,617509,7989418,8245,1314462,38179,3068195,70683,3932839,159526,5152854,285234,6133022,407174,6917770,619119,29782778,25573,20509982,106509,24996375,182048,26694889,339843,28569916,492782,29467164,568463,29704548,284798,7917286,6364,1126035,32384,2727530,59780,3835336,129991,5834459,210154,7233626,250513,7683626,583125,21294257,5834,482824,39316,2969754,83821,5663569,212808,11974854,388982,18164901,497995,20425676,147604,18399031,17700,13577990,46836,16716050,64541,17435715,96078,18090608,123438,18379150,137813,18436394,43374647,15611185,23957484,28970551,36634371,41810093,43249925
